1 1 
0.891292 1.08637 
0.740271 1.16637 
0.54157 1.23865 
0.296625 1.29578 
0.0200579 1.32194 
-0.25834 1.29606 
-0.503149 1.20352 
-0.689646 1.04802 
-0.81118 0.850313 
-0.873514 0.636372 
-0.885945 0.427252 
-0.856226 0.235935 
-0.789338 0.0687138 
-0.688197 -0.0720923 
-0.555077 -0.185684 
-0.393272 -0.270986 
-0.208706 -0.325635 
-0.0109045 -0.346026 
0.187504 -0.328672 
0.373105 -0.272548 
0.534856 -0.181041 
0.666202 -0.0620351 
0.765087 0.0740329 
0.832369 0.216799 
0.869927 0.357906 
0.879232 0.491753 
0.860586 0.615319 
0.812895 0.727478 
0.733902 0.828098 
0.620973 0.916963 
0.472664 0.992467 
0.291218 1.05018 
0.0854038 1.082 
-0.128298 1.0773 
-0.328649 1.0274 
-0.496414 0.931096 
-0.620186 0.796852 
-0.697178 0.639505 
-0.730042 0.474722 
-0.723244 0.315134 
-0.680971 0.169218 
-0.606606 0.0420113 
-0.503179 -0.0635237 
-0.374262 -0.14521 
-0.224959 -0.200786 
-0.0625531 -0.227691 
0.103613 -0.223632 
0.263277 -0.187775 
0.40706 -0.121943 
0.528051 -0.0310041 
0.622367 0.0779051 
0.688634 0.196883 
0.72688 0.31873 
0.737474 0.437823 
0.720413 0.550321 
0.675063 0.653834 
0.60038 0.746774 
0.495638 0.827492 
0.361735 0.89331 
0.202905 0.939703 
0.0281569 0.960232 
-0.14882 0.947973 
-0.312252 0.898526 
-0.448457 0.812966 
-0.549001 0.698488 
-0.611056 0.566184 
-0.635626 0.427738 
-0.625428 0.293012 
-0.583528 0.169196 
-0.512927 0.0611195 
-0.416804 -0.0279384 
-0.299099 -0.0954353 
-0.165095 -0.139054 
-0.0216876 -0.156675 
0.122941 -0.146876 
0.260288 -0.109731 
0.382797 -0.0474819 
0.484843 0.0354252 
0.563017 0.133013 
0.615723 0.238858 
0.642425 0.347084 
0.642935 0.452952 
0.616975 0.55296 
0.564113 0.644555 
0.484115 0.725576 
0.377729 0.793566 
0.247815 0.845114 
0.10047 0.875585 
-0.0545593 0.879684 
-0.204941 0.853116 
-0.3383 0.794773 
-0.445005 0.708082 
-0.519636 0.600478 
-0.560645 0.481397 
-0.568996 0.360068 
-0.546844 0.244143 
-0.496784 0.139327 
-0.4217 0.0496964 
-0.325019 -0.0217365 
-0.211118 -0.0725289 
-0.0856094 -0.100605 
0.0447178 -0.104434 
0.172439 -0.0835209 
0.290391 -0.0389594 
0.392582 0.0263139 
0.474722 0.107779 
0.534218 0.200034 
0.569747 0.297635 
0.580701 0.395748 
0.566742 0.490454 
0.52762 0.578691 
0.463338 0.657917 
0.374654 0.725614 
0.263881 0.778776 
0.135753 0.81362 
-0.00210907 0.825844 
-0.139682 0.811659 
-0.266175 0.769359 
-0.372204 0.700613 
-0.451409 0.610602 
-0.500793 0.506856 
-0.520008 0.397535 
